SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
4543895|Domaine Sylvain Pataille 'Marsannay Blanc' 2022||2022|750ml|87.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Sylvain%20Pataille%20'Marsannay%20Blanc'%202022||Inc.tax|R|Next day||
603429V|Domaine Sylvain Pataille 'Bourgogne Rouge' 2022||2022|750ml|56.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Sylvain%20Pataille%20'Bourgogne%20Rouge'%202022||Inc.tax|R|Next day||
596430A|Domaine Sylvain Pataille 'Marsannay Rouge' 2022||2022|750ml|76.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Sylvain%20Pataille%20'Marsannay%20Rouge'%202022||Inc.tax|R|Next day||
3144176|Domaine des Lampyres 'Janseniste' 2022||2022|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20des%20Lampyres%20'Janseniste'%202022||Inc.tax|R|Next day||
X981788|Domaine des Lampyres 'Point Triple' 2023||2023|750ml|33.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20des%20Lampyres%20'Point%20Triple'%202023||Inc.tax|R|Next day||
G695763|Domaine de la Combe au Mas 'Bouquier' 2023||2023|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20de%20la%20Combe%20au%20Mas%20'Bouquier'%202023||Inc.tax|R|Next day||
786379K|Racina Republic 'Republichino' 2022||2022|750ml|31.00|0|https://www.magazzinonyc.com/s/shop?query=Racina%20Republic%20'Republichino'%202022||Inc.tax|R|Next day||
750325K|Hervé Villemade 'Rose' 2024||2024|750ml|25.00|0|https://www.magazzinonyc.com/s/shop?query=Herv%C3%A9%20Villemade%20'Rose'%202024||Inc.tax|R|Next day||
504849K|Hervé Villemade 'Sauvignon' 2024||2024|750ml|25.00|-1|https://www.magazzinonyc.com/s/shop?query=Herv%C3%A9%20Villemade%20'Sauvignon'%202024||Inc.tax|R|Next day||
T164596|J.C. Garnier 'Gamay-Aunis' 2024||2024|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=J.C.%20Garnier%20'Gamay-Aunis'%202024||Inc.tax|R|Next day||
217319F|Maison Glandien 'L'ouverture Rose' 2023||2023|750ml|80.00|0|https://www.magazzinonyc.com/s/shop?query=Maison%20Glandien%20'L'ouverture%20Rose'%202023||Inc.tax|R|Next day||
2399410|Maison Glandien 'La Moire Blanc' 2023||2023|750ml|97.00|0|https://www.magazzinonyc.com/s/shop?query=Maison%20Glandien%20'La%20Moire%20Blanc'%202023||Inc.tax|R|Next day||
S266851|Arnaud Baillot 'Hautes Côtes de Beaune Blanc' 2023||2023|750ml|43.00|0|https://www.magazzinonyc.com/s/shop?query=Arnaud%20Baillot%20'Hautes%20C%C3%B4tes%20de%20Beaune%20Blanc'%202023||Inc.tax|R|Next day||
924574H|Arnaud Baillot 'Bourgogne La Montagne' 2023||2023|750ml|43.00|0|https://www.magazzinonyc.com/s/shop?query=Arnaud%20Baillot%20'Bourgogne%20La%20Montagne'%202023||Inc.tax|R|Next day||
T505410|Sergio Drago 'Catarratto' 2023||2023|750ml|34.00|9|https://www.magazzinonyc.com/s/shop?query=Sergio%20Drago%20'Catarratto'%202023||Inc.tax|R|Next day||
281370S|Sergio Drago 'Macerato' 2022||2022|750ml|36.00|9|https://www.magazzinonyc.com/s/shop?query=Sergio%20Drago%20'Macerato'%202022||Inc.tax|R|Next day||
E071657|Sergio Drago 'Catarratto Mosso' 2023||2023|750ml|34.00|12|https://www.magazzinonyc.com/s/shop?query=Sergio%20Drago%20'Catarratto%20Mosso'%202023||Inc.tax|R|Next day||
626416H|Sergio Drago 'Rosa' 2023||2023|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=Sergio%20Drago%20'Rosa'%202023||Inc.tax|R|Next day||
E039215|Sergio Drago 'Rosa Mosso' 2023||2023|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=Sergio%20Drago%20'Rosa%20Mosso'%202023||Inc.tax|R|Next day||
8200935|Sergio Drago 'Rosso' 2022||2022|750ml|36.00|8|https://www.magazzinonyc.com/s/shop?query=Sergio%20Drago%20'Rosso'%202022||Inc.tax|R|Next day||
9933185|La Villana 'Vino Rosso' 2022||2022|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=La%20Villana%20'Vino%20Rosso'%202022||Inc.tax|R|Next day||
895506K|Domaine Les Terres Promises 'Anachronie' 2024||2024|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Les%20Terres%20Promises%20'Anachronie'%202024||Inc.tax|R|Next day||
6182485|Domaine Les Terres Promises 'Apostrophe' 2024||2024|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Les%20Terres%20Promises%20'Apostrophe'%202024||Inc.tax|R|Next day||
X263757|Beck Hartweg 'Riesling Cru Frankstein' 2021||2021|750ml|48.00|0|https://www.magazzinonyc.com/s/shop?query=Beck%20Hartweg%20'Riesling%20Cru%20Frankstein'%202021||Inc.tax|R|Next day||
915487N|Beck Hartweg 'Rouge F' 2022||2022|750ml|49.00|0|https://www.magazzinonyc.com/s/shop?query=Beck%20Hartweg%20'Rouge%20F'%202022||Inc.tax|R|Next day||
521528W|Beck Hartweg 'Tout Naturellement Macere' 2023||2023|750ml|35.00|0|https://www.magazzinonyc.com/s/shop?query=Beck%20Hartweg%20'Tout%20Naturellement%20Macere'%202023||Inc.tax|R|Next day||
